devEUI,rssi,loraSNR,frequency,dr,fCnt,fPort,data,time



0004a30b0020096f,-45,9.8,868100000,5,0,1,PylM72caRtzzRifvNx50+NSEEdU//w==,2019-02-26 22:05:00.298487
0004a30b0020096f,-44,9.5,868500000,0,1,1,gA==,2019-02-26 22:05:08.853078
0004a30b0020096f,-53,10,868300000,1,2,1,CA==,2019-02-26 22:05:19.870258
0004a30b0020096f,-44,11.8,868100000,2,3,1,zA==,2019-02-26 22:05:29.996922
0004a30b0020096f,-60,11.3,868100000,2,4,1,5A==,2019-02-26 22:07:10.684936
0004a30b0020096f,-59,11,868300000,1,5,1,wg==,2019-02-26 22:08:33.606304
0004a30b0020096f,-65,11.3,868100000,2,6,1,Xw==,2019-02-26 22:08:46.648781
0004a30b0020096f,-49,8.3,868100000,1,7,1,BQ==,2019-02-26 22:10:15.589972
0004a30b0020096f,-52,9,868100000,5,0,1,PylM72caRtzzRifvNx50+NSEEdU//w==,2019-02-26 22:10:57.900946
0004a30b0020096f,-51,10.8,868300000,0,1,1,gA==,2019-02-26 22:11:06.436442
0004a30b0020096f,-57,8.8,868500000,1,2,1,CA==,2019-02-26 22:11:17.455415
0004a30b0020096f,-53,11.8,868100000,2,3,1,zA==,2019-02-26 22:11:27.568867
0004a30b0020096f,-61,10,868100000,2,4,1,5A==,2019-02-26 22:13:08.309338
0004a30b0020096f,-51,9.5,868300000,5,0,1,PylM72caRtzzRifvNx50+NSEEdU//w==,2019-02-26 22:14:17.124205
0004a30b0020096f,-47,8.5,868500000,5,1,1,gA==,2019-02-26 22:14:30.785324
0004a30b0020096f,-51,12,868100000,4,1,1,gA==,2019-02-26 22:14:33.079536
0004a30b0020096f,-51,11.8,868300000,4,2,1,CA==,2019-02-26 22:14:42.289764
0004a30b0020096f,-48,10.3,868500000,4,3,1,zA==,2019-02-26 22:14:51.500488
0004a30b0020096f,-57,9.5,868100000,5,4,1,5Q==,2019-02-26 22:15:00.709572
0004a30b0020096f,-63,9,868300000,5,5,1,xw==,2019-02-26 22:15:09.871730
0004a30b0020096f,-57,9.5,868100000,5,6,1,WA==,2019-02-26 22:15:19.022447
0004a30b0020096f,-59,8.5,868300000,5,7,1,BA==,2019-02-26 22:15:28.138900
0004a30b0020096f,-63,9.5,868100000,5,8,1,Rg==,2019-02-26 22:15:37.328439
0004a30b0020096f,-65,8.5,868300000,5,9,1,fg==,2019-02-26 22:15:46.431143
0004a30b0020096f,-53,10,868500000,5,0,1,PylM72caRtzzRifvNx50+NSEEdU//w==,2019-02-26 22:16:00.117576
0004a30b0020096f,-67,9.3,868100000,5,1,1,gA==,2019-02-26 22:16:07.430647
0004a30b0020096f,-46,8.3,868300000,5,2,1,CA==,2019-02-26 22:16:16.592852
0004a30b0020096f,-51,9.3,868500000,5,3,1,zA==,2019-02-26 22:16:25.719526
0004a30b0020096f,-53,10,868100000,5,0,1,PylM72caRtzzRifvNx50+NSEEdU//w==,2019-02-26 22:16:52.744730
0004a30b0020096f,-63,10.8,868500000,3,1,1,gA==,2019-02-26 22:17:00.304756
0004a30b0020096f,-66,11.3,868300000,3,2,1,CA==,2019-02-26 22:17:09.777841
